date_from,date_to,area_m2,mean_delta_db,zone_id,zone_name,change_type
20250411,20250411,21000.0,0.025,0,Outside,Background_Change
20250411,20250411,14500.0,0.015,0,Outside,Background_Change
20250411,20250411,11300.0,0.016,0,Outside,Background_Change
20250411,20250411,12800.0,0.033,0,Outside,Background_Change
20250411,20250411,10700.0,0.017,0,Outside,Background_Change
20250411,20250411,21600.0,0.022,0,Outside,Background_Change
20250411,20250411,10000.0,0.035,0,Outside,Background_Change
20250411,20250411,26200.0,0.03,0,Outside,Background_Change
20250411,20250411,16400.0,0.023,0,Outside,Background_Change
20250411,20250411,18100.0,0.022,0,Outside,Background_Change
20250411,20250411,10300.0,0.014,0,Outside,Background_Change
20250411,20250411,14000.0,0.018,0,Outside,Background_Change
20250411,20250411,17600.0,0.023,0,Outside,Background_Change
20250411,20250411,29100.0,0.023,0,Outside,Background_Change
20250411,20250411,14600.0,0.025,0,Outside,Background_Change
20250411,20250411,19600.0,0.025,0,Outside,Background_Change
20250411,20250411,14600.0,0.03,0,Outside,Background_Change
20250411,20250411,19200.0,0.018,0,Outside,Background_Change
20250411,20250411,12500.0,0.016,0,Outside,Background_Change
20250411,20250411,10100.0,0.018,0,Outside,Background_Change
20250411,20250411,16500.0,0.02,0,Outside,Background_Change
20250411,20250411,12500.0,0.019,0,Outside,Background_Change
20250411,20250411,11500.0,0.032,0,Outside,Background_Change
20250411,20250411,16700.0,0.02,0,Outside,Background_Change
20250411,20250411,10200.0,0.014,0,Outside,Background_Change
20250411,20250411,16400.0,0.019,0,Outside,Background_Change
20250411,20250411,15100.0,0.021,0,Outside,Background_Change
20250411,20250411,18600.0,0.031,0,Outside,Background_Change
20250411,20250411,17000.0,0.022,0,Outside,Background_Change
20250411,20250411,10000.0,0.036,0,Outside,Background_Change
20250411,20250411,14800.0,0.022,0,Outside,Background_Change
20250411,20250411,12200.0,0.019,0,Outside,Background_Change
20250411,20250411,20600.0,0.024,0,Outside,Background_Change
20250411,20250411,23500.0,0.031,0,Outside,Background_Change
20250411,20250411,11700.0,0.014,0,Outside,Background_Change
20250411,20250411,10000.0,0.02,0,Outside,Background_Change
20250411,20250411,13500.0,0.014,0,Outside,Background_Change
20250411,20250411,25800.0,0.018,0,Outside,Background_Change
20250411,20250411,10000.0,0.019,0,Outside,Background_Change
20250411,20250411,23200.0,0.021,0,Outside,Background_Change
20250411,20250411,10900.0,0.021,0,Outside,Background_Change
20250411,20250411,20500.0,0.018,0,Outside,Background_Change
20250411,20250411,13700.0,0.017,0,Outside,Background_Change
20250411,20250411,11300.0,0.019,0,Outside,Background_Change
20250411,20250411,16300.0,0.025,0,Outside,Background_Change
20250411,20250411,20700.0,0.02,0,Outside,Background_Change
20250411,20250411,17700.0,0.037,0,Outside,Background_Change
20250411,20250411,13000.0,0.015,0,Outside,Background_Change
20250411,20250411,13300.0,0.02,0,Outside,Background_Change
20250411,20250411,17100.0,0.02,0,Outside,Background_Change
20250411,20250411,13800.0,0.03,0,Outside,Background_Change
20250411,20250411,14200.0,0.023,0,Outside,Background_Change
20250411,20250411,24000.0,0.018,0,Outside,Background_Change
20250411,20250411,12200.0,0.038,0,Outside,Background_Change
20250411,20250411,13600.0,0.016,0,Outside,Background_Change
20250411,20250411,19200.0,0.016,0,Outside,Background_Change
20250411,20250411,13300.0,0.019,0,Outside,Background_Change
20250411,20250411,18100.0,0.026,0,Outside,Background_Change
20250411,20250411,17700.0,0.025,0,Outside,Background_Change
20250411,20250411,12500.0,0.028,0,Outside,Background_Change
20250411,20250411,10900.0,0.021,0,Outside,Background_Change
20250411,20250411,14800.0,0.021,0,Outside,Background_Change
20250411,20250411,23800.0,0.016,0,Outside,Background_Change
20250411,20250411,22100.0,0.02,0,Outside,Background_Change
20250411,20250411,10300.0,0.013,0,Outside,Background_Change
20250411,20250411,17700.0,0.018,0,Outside,Background_Change
20250411,20250411,10500.0,0.022,0,Outside,Background_Change
20250411,20250411,10200.0,0.02,0,Outside,Background_Change
20250411,20250411,12900.0,0.025,0,Outside,Background_Change
20250411,20250411,11600.0,0.023,0,Outside,Background_Change
20250411,20250411,16200.0,0.011,0,Outside,Background_Change
20250411,20250411,11200.0,0.018,0,Outside,Background_Change
20250411,20250411,11300.0,0.02,0,Outside,Background_Change
20250411,20250411,10900.0,0.023,0,Outside,Background_Change
20250411,20250411,15300.0,0.019,0,Outside,Background_Change
20250411,20250411,14400.0,0.028,0,Outside,Background_Change
20250411,20250411,68200.0,0.037,0,Outside,Background_Change
20250411,20250411,10900.0,0.019,0,Outside,Background_Change
20250411,20250411,16000.0,0.022,0,Outside,Background_Change
20250411,20250411,10800.0,0.021,0,Outside,Background_Change
20250411,20250411,19100.0,0.025,0,Outside,Background_Change
20250411,20250411,17600.0,0.02,0,Outside,Background_Change
20250411,20250411,10600.0,0.015,0,Outside,Background_Change
20250411,20250411,11900.0,0.019,0,Outside,Background_Change
20250411,20250411,28400.0,0.017,0,Outside,Background_Change
20250411,20250411,16500.0,0.016,0,Outside,Background_Change
20250411,20250411,11300.0,0.027,0,Outside,Background_Change
20250411,20250411,17900.0,0.027,0,Outside,Background_Change
20250411,20250411,10700.0,0.016,0,Outside,Background_Change
20250411,20250411,10800.0,0.026,0,Outside,Background_Change
20250411,20250411,16700.0,0.016,0,Outside,Background_Change
20250411,20250411,16300.0,0.023,0,Outside,Background_Change
20250411,20250411,18400.0,0.022,0,Outside,Background_Change
20250411,20250411,14900.0,0.024,0,Outside,Background_Change
20250411,20250411,14500.0,0.021,0,Outside,Background_Change
20250411,20250411,13700.0,0.028,0,Outside,Background_Change
20250411,20250411,10900.0,0.014,0,Outside,Background_Change
20250411,20250411,10000.0,0.018,0,Outside,Background_Change
20250411,20250411,10600.0,0.018,0,Outside,Background_Change
20250411,20250411,12200.0,0.018,0,Outside,Background_Change
20250411,20250411,16900.0,0.015,0,Outside,Background_Change
20250411,20250411,10400.0,0.018,0,Outside,Background_Change
20250411,20250411,12000.0,0.019,0,Outside,Background_Change
20250411,20250411,16200.0,0.021,0,Outside,Background_Change
20250411,20250411,13400.0,0.026,0,Outside,Background_Change
20250411,20250411,22800.0,0.021,0,Outside,Background_Change
20250411,20250411,10800.0,0.008,0,Outside,Background_Change
20250411,20250411,13000.0,0.019,0,Outside,Background_Change
20250411,20250411,35100.0,0.026,0,Outside,Background_Change
20250411,20250411,12400.0,0.018,0,Outside,Background_Change
20250411,20250411,10000.0,0.018,0,Outside,Background_Change
20250411,20250411,11800.0,0.019,0,Outside,Background_Change
20250411,20250411,10200.0,0.024,0,Outside,Background_Change
20250411,20250411,16200.0,0.011,0,Outside,Background_Change
20250411,20250411,18300.0,0.024,0,Outside,Background_Change
20250411,20250411,11500.0,0.031,0,Outside,Background_Change
20250411,20250411,14500.0,0.019,0,Outside,Background_Change
20250411,20250411,10800.0,0.017,0,Outside,Background_Change
20250411,20250411,10700.0,0.016,0,Outside,Background_Change
20250411,20250411,18900.0,0.021,0,Outside,Background_Change
20250411,20250411,10500.0,0.025,0,Outside,Background_Change
20250411,20250411,17400.0,0.027,0,Outside,Background_Change
20250411,20250411,10000.0,0.02,0,Outside,Background_Change
20250411,20250411,17500.0,0.019,0,Outside,Background_Change
20250411,20250411,11100.0,0.021,0,Outside,Background_Change
20250411,20250411,10100.0,0.02,0,Outside,Background_Change
20250411,20250411,16800.0,0.015,0,Outside,Background_Change
20250411,20250411,10100.0,0.032,0,Outside,Background_Change
20250411,20250411,13400.0,0.027,0,Outside,Background_Change
20250411,20250411,18000.0,0.013,0,Outside,Background_Change
20250411,20250411,20700.0,0.013,0,Outside,Background_Change
20250411,20250411,14900.0,0.015,0,Outside,Background_Change
20250411,20250411,26000.0,0.018,0,Outside,Background_Change
20250411,20250411,13300.0,0.018,0,Outside,Background_Change
20250411,20250411,11700.0,0.016,0,Outside,Background_Change
20250411,20250411,12300.0,0.019,0,Outside,Background_Change
20250411,20250411,20000.0,0.016,0,Outside,Background_Change
20250411,20250411,10900.0,0.021,0,Outside,Background_Change
20250411,20250411,20400.0,0.023,0,Outside,Background_Change
20250411,20250411,21800.0,0.018,0,Outside,Background_Change
20250411,20250411,13100.0,0.021,0,Outside,Background_Change
20250411,20250411,11300.0,0.019,0,Outside,Background_Change
20250411,20250411,11700.0,0.017,0,Outside,Background_Change
20250411,20250411,29500.0,0.017,0,Outside,Background_Change
20250411,20250411,13000.0,0.017,0,Outside,Background_Change
20250411,20250411,39100.0,0.021,0,Outside,Background_Change
20250411,20250411,11700.0,0.034,0,Outside,Background_Change
20250411,20250411,10400.0,0.012,0,Outside,Background_Change
20250411,20250411,24300.0,0.014,0,Outside,Background_Change
20250411,20250411,19300.0,0.017,0,Outside,Background_Change
20250411,20250411,12200.0,0.021,0,Outside,Background_Change
20250411,20250411,24500.0,0.023,0,Outside,Background_Change
20250411,20250411,12500.0,0.036,0,Outside,Background_Change
20250411,20250411,11600.0,0.025,0,Outside,Background_Change
20250411,20250411,12800.0,0.019,0,Outside,Background_Change
20250411,20250411,10800.0,0.013,0,Outside,Background_Change
20250411,20250411,10900.0,0.019,0,Outside,Background_Change
20250411,20250411,16000.0,0.02,0,Outside,Background_Change
20250411,20250411,22800.0,0.018,0,Outside,Background_Change
20250411,20250411,15500.0,0.025,0,Outside,Background_Change
20250411,20250411,40700.0,0.024,0,Outside,Background_Change
20250411,20250411,19800.0,0.011,0,Outside,Background_Change
20250411,20250411,12900.0,0.026,0,Outside,Background_Change
20250411,20250411,13700.0,0.018,0,Outside,Background_Change
20250411,20250411,18000.0,0.029,0,Outside,Background_Change
20250411,20250411,20100.0,0.032,0,Outside,Background_Change
20250411,20250411,14400.0,0.018,0,Outside,Background_Change
20250411,20250411,15100.0,0.018,0,Outside,Background_Change
20250411,20250411,24000.0,0.032,0,Outside,Background_Change
20250411,20250411,10300.0,0.015,0,Outside,Background_Change
20250411,20250411,12100.0,0.023,0,Outside,Background_Change
20250411,20250411,10400.0,0.02,0,Outside,Background_Change
20250411,20250411,16400.0,0.02,0,Outside,Background_Change
20250411,20250411,21200.0,0.012,0,Outside,Background_Change
20250411,20250411,29900.0,0.029,0,Outside,Background_Change
20250411,20250411,22300.0,0.027,0,Outside,Background_Change
20250411,20250411,12100.0,0.019,0,Outside,Background_Change
20250411,20250411,18700.0,0.012,0,Outside,Background_Change
20250411,20250411,12400.0,0.019,0,Outside,Background_Change
20250411,20250411,12300.0,0.011,0,Outside,Background_Change
